"station","year","month"
"164","1923","JAN"
"164","1923","FEB"
"164","1923","MAR"
"164","1923","APR"
"164","1923","MAY"
"164","1923","JUN"
"164","1923","JUL"
"164","1923","AUG"
"164","1923","SEP"
"164","1923","OCT"
"164","1923","NOV"
"164","1923","DEC"
"164","1924","JAN"
"164","1924","FEB"
"164","1924","MAR"
"164","1924","APR"
"164","1924","MAY"
"164","1924","JUN"
"164","1924","JUL"
"164","1924","AUG"
"164","1924","SEP"
"164","1924","OCT"
"164","1924","NOV"
"164","1924","DEC"
"164","1925","JAN"
"164","1925","FEB"
"164","1925","MAR"
"164","1925","APR"
"164","1925","MAY"
"164","1925","JUN"
"164","1925","JUL"
"164","1925","AUG"
"164","1925","SEP"
"164","1925","OCT"
"164","1925","NOV"
"164","1925","DEC"
"164","1926","JAN"
"164","1926","FEB"
"164","1926","MAR"
"164","1926","APR"
"164","1926","MAY"
"164","1926","JUN"
"164","1926","JUL"
"164","1926","AUG"
"164","1926","SEP"
"164","1926","OCT"
"164","1926","NOV"
"164","1926","DEC"
"164","1927","JAN"
"164","1927","FEB"
"164","1927","MAR"
"164","1927","APR"
"164","1927","MAY"
"164","1927","JUN"
"164","1927","JUL"
"164","1927","AUG"
"164","1927","SEP"
"164","1927","OCT"
"164","1927","NOV"
"164","1927","DEC"
"164","1928","JAN"
"164","1928","FEB"
"164","1928","MAR"
"164","1928","APR"
"164","1928","MAY"
"164","1928","JUN"
"164","1928","JUL"
"164","1928","AUG"
"164","1928","SEP"
"164","1928","OCT"
"164","1928","NOV"
"164","1928","DEC"
"164","1929","JAN"
"164","1929","FEB"
"164","1929","MAR"
"164","1929","APR"
"164","1929","MAY"
"164","1929","JUN"
"164","1929","JUL"
"164","1929","AUG"
"164","1929","SEP"
"164","1929","OCT"
"164","1929","NOV"
"164","1929","DEC"
"164","1930","JAN"
"164","1930","FEB"
"164","1930","MAR"
"164","1930","APR"
"164","1930","MAY"
"164","1930","JUN"
"164","1930","JUL"
"164","1930","AUG"
"164","1930","SEP"
"164","1930","OCT"
"164","1930","NOV"
"164","1930","DEC"
"164","1931","JAN"
"164","1931","FEB"
"164","1931","MAR"
"164","1931","APR"
"164","1931","MAY"
"164","1931","JUN"
"164","1931","JUL"
"164","1931","AUG"
"164","1931","SEP"
"164","1931","OCT"
"164","1931","NOV"
"164","1931","DEC"
"164","1932","JAN"
"164","1932","FEB"
"164","1932","MAR"
"164","1932","APR"
"164","1932","MAY"
"164","1932","JUN"
"164","1932","JUL"
"164","1932","AUG"
"164","1932","SEP"
"164","1932","OCT"
"164","1932","NOV"
"164","1932","DEC"
"164","1933","JAN"
"164","1933","FEB"
"164","1933","MAR"
"164","1933","APR"
"164","1933","MAY"
"164","1933","JUN"
"164","1933","JUL"
"164","1933","AUG"
"164","1933","SEP"
"164","1933","OCT"
"164","1933","NOV"
"164","1933","DEC"
"164","1934","JAN"
"164","1934","FEB"
"164","1934","MAR"
"164","1934","APR"
"164","1934","MAY"
"164","1934","JUN"
"164","1934","JUL"
"164","1934","AUG"
"164","1934","SEP"
"164","1934","OCT"
"164","1934","NOV"
"164","1934","DEC"
