"station","year","month","precipitation","month_id"
"BOX","1923","JAN",0,1
"BOX","1923","FEB",30,2
"BOX","1923","MAR",35,3
"BOX","1923","APR",9,4
"BOX","1923","MAY",0,5
"BOX","1923","JUN",0,6
"BOX","1923","JUL",583,7
"BOX","1923","AUG",315,8
"BOX","1923","SEP",70,9
"BOX","1923","OCT",0,10
"BOX","1923","NOV",335,11
"BOX","1923","DEC",187,12
"DESST","1923","JAN",0,1
"DESST","1923","FEB",26,2
"DESST","1923","MAR",61,3
"DESST","1923","APR",0,4
"DESST","1923","MAY",0,5
"DESST","1923","JUN",0,6
"DESST","1923","JUL",274,7
"DESST","1923","AUG",426,8
"DESST","1923","SEP",130,9
"DESST","1923","OCT",0,10
"DESST","1923","NOV",281,11
"DESST","1923","DEC",133,12
"ERIOP","1923","JAN",0,1
"ERIOP","1923","FEB",51,2
"ERIOP","1923","MAR",49,3
"ERIOP","1923","APR",22,4
"ERIOP","1923","MAY",0,5
"ERIOP","1923","JUN",0,6
"ERIOP","1923","JUL",479,7
"ERIOP","1923","AUG",337,8
"ERIOP","1923","SEP",67,9
"ERIOP","1923","OCT",0,10
"ERIOP","1923","NOV",300,11
"ERIOP","1923","DEC",178,12
"FORES","1923","JAN",0,1
"FORES","1923","FEB",62,2
"FORES","1923","MAR",124,3
"FORES","1923","APR",74,4
"FORES","1923","MAY",0,5
"FORES","1923","JUN",0,6
"FORES","1923","JUL",731,7
"FORES","1923","AUG",734,8
"FORES","1923","SEP",46,9
"FORES","1923","OCT",0,10
"FORES","1923","NOV",495,11
"FORES","1923","DEC",305,12
"HUERF","1923","JAN",0,1
"HUERF","1923","FEB",53,2
"HUERF","1923","MAR",53,3
"HUERF","1923","APR",7,4
"HUERF","1923","MAY",0,5
"HUERF","1923","JUN",0,6
"HUERF","1923","JUL",453,7
"HUERF","1923","AUG",463,8
"HUERF","1923","SEP",26,9
"HUERF","1923","OCT",0,10
"HUERF","1923","NOV",351,11
"HUERF","1923","DEC",192,12
"MUHLE","1923","JAN",0,1
"MUHLE","1923","FEB",31,2
"MUHLE","1923","MAR",37,3
"MUHLE","1923","APR",0,4
"MUHLE","1923","MAY",0,5
"MUHLE","1923","JUN",0,6
"MUHLE","1923","JUL",393,7
"MUHLE","1923","AUG",447,8
"MUHLE","1923","SEP",208,9
"MUHLE","1923","OCT",0,10
"MUHLE","1923","NOV",290,11
"MUHLE","1923","DEC",151,12
"NE","1923","JAN",0,1
"NE","1923","FEB",33,2
"NE","1923","MAR",39,3
"NE","1923","APR",28,4
"NE","1923","MAY",0,5
"NE","1923","JUN",0,6
"NE","1923","JUL",301,7
"NE","1923","AUG",441,8
"NE","1923","SEP",44,9
"NE","1923","OCT",0,10
"NE","1923","NOV",227,11
"NE","1923","DEC",124,12
"NW","1923","JAN",0,1
"NW","1923","FEB",24,2
"NW","1923","MAR",39,3
"NW","1923","APR",0,4
"NW","1923","MAY",0,5
"NW","1923","JUN",0,6
"NW","1923","JUL",215,7
"NW","1923","AUG",398,8
"NW","1923","SEP",36,9
"NW","1923","OCT",0,10
"NW","1923","NOV",187,11
"NW","1923","DEC",108,12
"PARKE","1923","JAN",12,1
"PARKE","1923","FEB",152,2
"PARKE","1923","MAR",61,3
"PARKE","1923","APR",78,4
"PARKE","1923","MAY",0,5
"PARKE","1923","JUN",0,6
